id	source	target
165	astrodynamics	music
166	ethnomusicology	music
167	biochemical nutrition	nutrition
168	clinical nutrition	nutrition
169	community nutrition	nutrition
170	comparative nutrition	nutrition
171	food science	nutrition
172	genetic nutrition	nutrition
173	human nutrition	nutrition
174	international nutrition	nutrition
175	molecular nutrition	nutrition
176	ethnomusicology	musicology
177	cancer biology	molecular biology
178	african history	history
179	ancient history	history
180	asian history	history
181	contemporary art history	history
182	diplomatic history	history
183	economic history	history
184	european history	history
185	gender history	history
186	history of philosophy	history
187	history of religion	history
188	history of religions of eastern origins	history
189	history of religions of western origin	history
190	history of science, technology, and medicine	history
191	intellectual history	history
192	islamic world/near east history	history
193	latin american history	history
194	medieval history	history
195	military history	history
196	political history	history
197	social history	history
198	theatre history	history
199	united states history	history
200	women’s history	history
201	literature in english, north america, ethnic and minority	literature in english, north america
202	aerodynamics	engineering
203	aerospace engineering	engineering
204	aquatic ecology	engineering
205	biological engineering	engineering
206	biomechanical engineering	engineering
207	biomedical	engineering
208	chemical engineering	engineering
209	civil engineering	engineering
210	cognitive psychology	engineering
211	computer engineering	engineering
212	condensed matter physics	engineering
213	digital communications	engineering
214	ecology	engineering
215	electrical and electronics	engineering
216	electrical engineering	engineering
217	engineering physics	engineering
218	environmental engineering	engineering
219	geotechnical engineering	engineering
220	industrial engineering	engineering
221	kinesiology	engineering
222	materials science	engineering
223	mechanical engineering	engineering
224	nuclear physics	engineering
225	ocean engineering	engineering
226	oceanography	engineering
227	petroleum engineering	engineering
228	robotics	engineering
229	social science	engineering
230	software engineering	engineering
231	structural engineering	engineering
232	systems engineering	engineering
233	immunopathology	pathology
234	plant pathology	pathology
235	cosmology, relativity, and gravity	cosmology
236	cultural anthropology	humanities
237	english language and literature	humanities
238	environmental sciences	humanities
239	geography	humanities
240	human geography	humanities
241	international relations	humanities
242	linguistics	humanities
243	musicology	humanities
244	psychology	humanities
245	religion	humanities
246	sociology	humanities
247	theology	humanities
248	epistemology	metaphysics
249	philosophy of mind	metaphysics
250	artificial intelligence	computer science
251	computational biology	computer science
252	software engineering	computer science
253	social psychology and interaction	social psychology
254	theatre history	theatre
255	history of religions of eastern origins	history of religion
256	history of religions of western origin	history of religion
257	american politics	political science
258	political theory	political science
259	ethics and political philosophy	ethics
260	analytical chemistry	chemistry
261	biochemistry	chemistry
262	biogeochemistry	chemistry
263	cosmochemistry	chemistry
264	environmental chemistry	chemistry
265	food chemistry	chemistry
266	inorganic chemistry	chemistry
267	materials chemistry	chemistry
268	medicinal chemistry	chemistry
269	medicinal-pharmaceutical chemistry	chemistry
270	organic chemistry	chemistry
271	physical chemistry	chemistry
272	statistical methodology	methodologies
273	astrophysics and astronomy	physics
274	biophysics	physics
275	condensed matter physics	physics
276	cosmology	physics
277	engineering physics	physics
278	metaphysics	physics
279	mineral physics	physics
280	nuclear physics	physics
281	optics	physics
282	quantum physics	physics
283	race and ethnicity	analysis
284	sociology of culture	analysis
285	history of religion	theology
286	biophysics	biochemistry
287	genetics	biochemistry
288	immunology	biochemistry
289	organic chemistry	biochemistry
290	structural biology	biochemistry
