id	source	target
107	microbial ecology	ecology
108	physics	ecology
109	physiology	ecology
110	public health	ecology
111	terrestrial ecology	ecology
112	numerical analysis	applied statistics
113	instrumentation	ocean engineering
114	mechanical engineering	ocean engineering
115	anthropology	environmental sciences
116	atmospheric sciences	environmental sciences
117	geology	environmental sciences
118	human nutrition	environmental sciences
119	materials science	environmental sciences
120	paleobiology	environmental sciences
121	environmental microbiology	microbial ecology
122	molecular biology	microbial ecology
123	microbiology	biological engineering
124	environmental sciences	agronomy
125	economics	criminology
126	pathology	criminology
127	public administration	public policy
128	analysis	sociology
129	anthropology	sociology
130	criminology	sociology
131	epistemology	sociology
132	history	sociology
133	history of philosophy	sociology
134	international relations	sociology
135	philosophy	sociology
136	political science	sociology
137	race and ethnicity	sociology
138	regional sociology	sociology
139	rural sociology	sociology
140	social anthropology	sociology
141	social history	sociology
142	social psychology	sociology
143	sociology of culture	sociology
144	aerodynamics	fluid dynamics
145	anthropology	psychology
146	behavioral economics	psychology
147	biological psychology	psychology
148	clinical psychology	psychology
149	cognitive neuroscience	psychology
150	community psychology	psychology
151	developmental psychology	psychology
152	dynamical systems	psychology
153	ethics	psychology
154	health psychology	psychology
155	pathology	psychology
156	physiology	psychology
157	political science	psychology
158	psycholinguistics	psychology
159	psychology of movement	psychology
160	social psychology	psychology
161	anthropology	cognitive psychology
162	history	cognitive psychology
163	motor control	cognitive psychology
164	psycholinguistics	cognitive psychology
165	sociology	cognitive psychology
166	computer engineering	industrial engineering
167	mechanical engineering	industrial engineering
168	history of religions of eastern origins	history of religion
169	history of religions of western origin	history of religion
170	economics	social anthropology
171	environmental microbiology	microbiology
172	food microbiology	microbiology
173	pathogenic microbiology	microbiology
174	molecular biology	population biology
175	algebra	religion
176	anthropology	religion
177	behavioral ecology	religion
178	botany	religion
179	chemistry	religion
180	cognitive psychology	religion
181	cosmology	religion
182	ecology	religion
183	economics	religion
184	ethics	religion
185	genetics	religion
186	geography	religion
187	geology	religion
188	history of religion	religion
189	metaphysics	religion
190	music	religion
191	pathology	religion
192	philosophy of religion	religion
193	philosophy of science	religion
194	physical science	religion
195	psychology	religion
196	science	religion
197	theatre	religion
198	theology	religion
199	biogeochemistry	geochemistry
200	geology	life science
201	microbiology	life science
202	algebra	economic theory
203	behavioral economics	economic theory
204	political science	economic theory
205	logic and foundations of mathematics	logic and foundations
206	set theory	logic and foundations
207	ethics	genomics
208	linguistic anthropology	anthropology
209	social anthropology	anthropology
210	analysis	epidemiology
211	biostatistics	epidemiology
212	nutritional epidemiology	epidemiology
213	analysis	plant science
214	biological engineering	plant science
215	botany	plant science
216	chemistry	plant science
217	ecology	plant science
218	genetics	plant science
219	genomics	plant science
220	horticulture	plant science
221	physiology	plant science
222	plant breeding	plant science
223	plant pathology	plant science
224	food processing	manufacturing
225	instrumentation	manufacturing
226	life science	manufacturing
227	materials science	manufacturing
228	optics	manufacturing
229	robotics	manufacturing
230	software engineering	manufacturing
231	cellular physiology	physiology
232	comparative physiology	physiology
233	evolutionary physiology	physiology
234	exercise physiology	physiology
235	microbial physiology	physiology
236	molecular physiology	physiology
237	inorganic chemistry	organic chemistry
238	medicinal chemistry	organic chemistry
239	microbial ecology	organic chemistry
240	molecular biology	organic chemistry
241	pragmatics	computational linguistics
242	syntax	computational linguistics
243	geology	climate
244	physics	climate
245	physiology	plant biology
246	behavioral economics	economics
247	international economics	economics
248	labor economics	economics
249	macroeconomics	economics
250	public economics	economics
251	numerical analysis	scientific computing
252	networks	networking
253	optics	networking
254	environmental health	toxicology
255	public health	toxicology
256	ancient history	classics
257	ancient philosophy	classics
258	botany	classics
259	classical archaeology and art history	classics
260	classical literature and philology	classics
261	comparative literature	classics
262	philosophy	classics
263	theology	classics
264	microbiology	botany
265	morphology	botany
266	physiology	botany
267	air traffic control	dynamic systems
268	signal processing	dynamic systems
269	anthropology	probability
270	pathology	probability
271	psychology	probability
272	air traffic control	communication
273	anthropology	communication
274	behavioral ecology	communication
275	chemistry	communication
276	communication technology and new media	communication
277	comparative literature	communication
278	composition	communication
279	digital communications	communication
280	economics	communication
281	electromagnetics	communication
282	epistemology	communication
283	ergonomics	communication
284	ethics	communication
285	graphics	communication
286	health communication	communication
287	horticulture	communication
288	interpersonal/small group communication	communication
289	linguistics	communication
290	manufacturing	communication
291	mass communication	communication
292	microbiology	communication
293	morphology	communication
294	motor control	communication
295	music	communication
296	networks	communication
297	optics	communication
298	organizational communication	communication
299	os	communication
300	pathology	communication
301	phonology	communication
302	physical chemistry	communication
303	physiology	communication
304	pragmatics	communication
305	probability	communication
306	public affairs	communication
307	public policy	communication
308	semantics	communication
309	signal processing	communication
310	sociology	communication
311	syntax	communication
312	theatre	communication
313	physiology	animal science
314	analysis	zoology
315	biomechanics	zoology
316	ecology	zoology
317	endocrinology	zoology
318	entomology	zoology
319	genetics	zoology
320	geology	zoology
321	meteorology	zoology
322	molecular biology	zoology
323	paleontology	zoology
324	parasitology	zoology
325	physiology	zoology
326	psychology	software engineering
327	geology	earth science
328	entomology	horticulture
329	physiology	horticulture
330	plant breeding	horticulture
331	plant pathology	horticulture
332	ethics	epistemology
333	philosophy of language	epistemology
334	semantics	epistemology
335	aquatic ecology	oceanography
336	meteorology	oceanography
337	biomechanical engineering	mechanical engineering
338	biomechanics	mechanical engineering
339	phonology	phonetics
340	astrodynamics	music
341	ethnomusicology	music
342	playwriting	music
343	metallurgy	economic history
344	theatre	economic history
345	analysis	artificial intelligence
346	fluid dynamics	artificial intelligence
347	information systems	artificial intelligence
348	physiology	artificial intelligence
349	robotics	artificial intelligence
350	biochemical nutrition	nutrition
351	clinical nutrition	nutrition
352	community nutrition	nutrition
353	comparative nutrition	nutrition
354	food science	nutrition
355	genetic nutrition	nutrition
356	human nutrition	nutrition
357	international nutrition	nutrition
358	molecular nutrition	nutrition
359	literature in english, north america, ethnic and minority	literature in english, north america
360	ethnomusicology	musicology
361	psychology	musicology
362	cancer biology	molecular biology
363	computational biology	molecular biology
364	developmental biology	molecular biology
365	endocrinology	molecular biology
366	molecular genetics	molecular biology
367	plant breeding	molecular biology
368	diplomatic history	european history
369	ethics	chemical engineering
370	fluid mechanics	chemical engineering
371	materials science	chemical engineering
372	thermodynamics	chemical engineering
373	morphology	geology
374	morphology	applied linguistics
375	phonology	semantics
376	psychology	semantics
377	biophysics	condensed matter physics
378	analysis	circuits
379	digital circuits	circuits
380	theatre	circuits
381	animal science	science
382	anthropology	science
383	applied mathematics	science
384	archaeological	science
385	atmospheric sciences	science
386	behavioral economics	science
387	cellular neuroscience	science
388	civil engineering	science
389	cognitive neuroscience	science
390	computational neuroscience	science
391	computer architecture	science
392	computer science	science
393	crop sciences	science
394	dairy science	science
395	developmental neuroscience	science
396	earth science	science
397	economics	science
398	electromagnetics	science
399	engineering science	science
400	environmental sciences	science
401	ethnomusicology	science
402	food science	science
403	forest sciences	science
404	geographic information sciences	science
405	geology	science
406	geophysics	science
407	life science	science
408	materials science	science
409	membrane science	science
410	metallurgy	science
411	microbiology	science
412	molecular neuroscience	science
413	morphology	science
414	music	science
415	neuroscience	science
416	numerical analysis	science
417	optics	science
418	physical science	science
419	physiology	science
420	plant science	science
421	political history	science
422	political science	science
423	poultry science	science
424	psycholinguistics	science
425	social science	science
426	soil science	science
427	systems neuroscience	science
428	tribology	science
429	wood science	science
430	geology	food science
431	materials science	food science
432	microbiology	food science
433	chemical engineering	electrical engineering
434	circuits	electrical engineering
435	digital circuits	electrical engineering
436	optics	electrical engineering
437	signal processing	electrical engineering
438	transport phenomena	physical chemistry
439	tribology	applied mechanics
440	african history	history
441	ancient history	history
442	archaeological	history
443	asian history	history
444	contemporary art history	history
445	cultural history	history
446	diplomatic history	history
447	earth science	history
448	economic history	history
449	ethnomusicology	history
450	european history	history
451	gender history	history
452	geology	history
453	history of religion	history
454	history of religions of eastern origins	history
455	history of religions of western origin	history
456	history of science, technology, and medicine	history
457	intellectual history	history
458	islamic world/near east history	history
459	latin american history	history
460	medieval history	history
461	military history	history
462	morphology	history
463	music	history
464	physiology	history
465	political history	history
466	social history	history
467	theatre history	history
468	united states history	history
469	women’s history	history
470	economics	intellectual history
471	dynamics/dynamical systems	dynamical systems
472	cosmology	astronomy and astrophysics
473	optics	analytical chemistry
474	epistemology	history of philosophy
475	philosophy of religion	history of philosophy
476	immunology	immunopathology
477	aerodynamics	engineering
478	aerospace engineering	engineering
479	algebra	engineering
480	algorithms	engineering
481	analysis	engineering
482	anthropology	engineering
483	applied mathematics	engineering
484	aquatic ecology	engineering
485	artificial intelligence	engineering
486	biological engineering	engineering
487	biomaterials	engineering
488	biomechanical engineering	engineering
489	biomedical	engineering
490	chemical engineering	engineering
491	chemistry	engineering
492	circuits	engineering
493	civil engineering	engineering
494	cognitive psychology	engineering
495	communication	engineering
496	computational biology	engineering
497	computational neuroscience	engineering
498	computer architecture	engineering
499	computer engineering	engineering
500	condensed matter physics	engineering
501	control theory	engineering
502	digital communications	engineering
503	earth science	engineering
504	ecology	engineering
505	economics	engineering
506	electrical and electronics	engineering
507	electrical engineering	engineering
508	electromagnetics	engineering
509	energy systems	engineering
510	engineering physics	engineering
511	environmental engineering	engineering
512	environmental health	engineering
513	epidemiology	engineering
514	ergonomics	engineering
515	ethics	engineering
516	fluid dynamics	engineering
517	fluid mechanics	engineering
518	food science	engineering
519	genetics	engineering
520	geography	engineering
521	geology	engineering
522	geophysics	engineering
523	geotechnical engineering	engineering
524	immunology	engineering
525	industrial engineering	engineering
526	information systems	engineering
527	instrumentation	engineering
528	kinesiology	engineering
529	life science	engineering
530	manufacturing	engineering
531	materials science	engineering
532	mechanical engineering	engineering
533	metallurgy	engineering
534	meteorology	engineering
535	molecular biology	engineering
536	music	engineering
537	networking	engineering
538	networks	engineering
539	nuclear physics	engineering
540	ocean engineering	engineering
541	oceanography	engineering
542	optics	engineering
543	pathology	engineering
544	petroleum engineering	engineering
545	pharmacology	engineering
546	physical chemistry	engineering
547	physics	engineering
548	political science	engineering
549	polymer science	engineering
550	psychology	engineering
551	public health	engineering
552	robotics	engineering
553	signal processing	engineering
554	social science	engineering
555	sociology	engineering
556	software engineering	engineering
557	structural engineering	engineering
558	systems engineering	engineering
559	theatre	engineering
560	thermodynamics	engineering
561	toxicology	engineering
562	anthropology	ergonomics
563	physiology	ergonomics
564	psychology	ergonomics
565	linguistics	social history
566	playwriting	theatre
567	theatre history	theatre
568	cosmology	theology
569	economics	theology
570	ethics	theology
571	history	theology
572	history of religion	theology
573	philosophy of religion	theology
574	psychology	theology
575	cosmology	metaphysics
576	music	metaphysics
577	philosophy of religion	metaphysics
578	morphology	paleobiology
579	optics	instrumentation
580	physiology	instrumentation
581	morphology	soil science
582	nutrition	soil science
583	thermodynamics	polymer chemistry
584	algorithms	statistical methodology
585	biophysics	biochemistry
586	developmental biology	biochemistry
587	genetics	biochemistry
588	immunology	biochemistry
589	microbiology	biochemistry
590	molecular biology	biochemistry
591	organic chemistry	biochemistry
592	pharmacology	biochemistry
593	structural biology	biochemistry
594	materials science	physical processes
595	pathology	physical processes
596	physiology	physical processes
597	earth science	meteorology
598	analysis	genetics
599	botany	genetics
600	comparative politics	genetics
601	computational biology	genetics
602	ecology	genetics
603	ethics	genetics
604	molecular biology	genetics
605	molecular genetics	genetics
606	pathology	genetics
607	philosophy	genetics
608	plant genetics	genetics
609	sociology	genetics
610	algebra	computer science
611	algorithms	computer science
612	analysis	computer science
613	applied mathematics	computer science
614	artificial intelligence	computer science
615	chemical engineering	computer science
616	cognitive neuroscience	computer science
617	communication	computer science
618	compilers	computer science
619	computational biology	computer science
620	computer architecture	computer science
621	computer engineering	computer science
622	electrical engineering	computer science
623	epistemology	computer science
624	fluid dynamics	computer science
625	graphics	computer science
626	horticulture	computer science
627	information systems	computer science
628	networking	computer science
629	networks	computer science
630	numerical analysis	computer science
631	philosophy of language	computer science
632	probability	computer science
633	programming languages	computer science
634	public policy	computer science
635	robotics	computer science
636	semantics	computer science
637	set theory	computer science
638	signal processing	computer science
639	software engineering	computer science
640	systems engineering	computer science
641	aerodynamics	mathematics
642	algebra	mathematics
643	algebraic geometry	mathematics
644	algorithms	mathematics
645	analysis	mathematics
646	anthropology	mathematics
647	applied mathematics	mathematics
648	artificial intelligence	mathematics
649	biochemistry	mathematics
650	chemical engineering	mathematics
651	chemistry	mathematics
652	civil engineering	mathematics
653	communication	mathematics
654	computational biology	mathematics
655	computer science	mathematics
656	control theory	mathematics
657	dynamical systems	mathematics
658	earth science	mathematics
659	ecology	mathematics
660	economics	mathematics
661	electrical engineering	mathematics
662	epistemology	mathematics
663	fluid dynamics	mathematics
664	geology	mathematics
665	geometry and topology	mathematics
666	geophysics	mathematics
667	graphics	mathematics
668	information systems	mathematics
669	linguistics	mathematics
670	metaphysics	mathematics
671	microbiology	mathematics
672	multidisciplinary design optimization	mathematics
673	networks	mathematics
674	non-linear dynamics	mathematics
675	number theory	mathematics
676	numerical analysis	mathematics
677	operational research	mathematics
678	optics	mathematics
679	ordinary differential equations	mathematics
680	partial differential equations	mathematics
681	philosophy	mathematics
682	physics	mathematics
683	political science	mathematics
684	probability	mathematics
685	psychology	mathematics
686	quantum physics	mathematics
687	robotics	mathematics
688	scientific computing	mathematics
689	set theory	mathematics
690	signal processing	mathematics
691	sociology	mathematics
692	software engineering	mathematics
693	statistics and probability	mathematics
694	anthropology	composition
695	economics	composition
696	instrumentation	composition
697	morphology	composition
698	pathology	composition
699	ancient philosophy	philosophy
700	animal science	philosophy
701	continental philosophy	philosophy
702	feminist philosophy	philosophy
703	geology	philosophy
704	music	philosophy
705	philosophy of language	philosophy
706	philosophy of religion	philosophy
707	political theory	philosophy
708	geology	seismology
709	american politics	political science
710	political theory	political science
711	artificial intelligence	neuroscience
712	biochemistry	neuroscience
713	biomaterials	neuroscience
714	cellular neuroscience	neuroscience
715	cognitive neuroscience	neuroscience
716	cognitive psychology	neuroscience
717	computational neuroscience	neuroscience
718	developmental neuroscience	neuroscience
719	epidemiology	neuroscience
720	ethics	neuroscience
721	immunology	neuroscience
722	microbiology	neuroscience
723	molecular biology	neuroscience
724	molecular neuroscience	neuroscience
725	pathology	neuroscience
726	physiology	neuroscience
727	population biology	neuroscience
728	systems neuroscience	neuroscience
729	ethics and political philosophy	ethics
730	optics	fluid mechanics
731	biochemistry	cell biology
732	developmental biology	cell biology
733	genomics	cell biology
734	algorithms	information systems
735	graphics	information systems
736	networks	information systems
737	anthropology	methodologies
738	artificial intelligence	methodologies
739	dynamical systems	methodologies
740	engineering	methodologies
741	genetics	methodologies
742	geophysics	methodologies
743	history of religion	methodologies
744	networks	methodologies
745	psychology	methodologies
746	software engineering	methodologies
747	statistical methodology	methodologies
748	theology	methodologies
749	pharmacology	medicinal chemistry
750	optics	photonics
751	energy systems	environmental engineering
752	geology	environmental engineering
753	anthropology	humanities
754	chemistry	humanities
755	classics	humanities
756	cognitive psychology	humanities
757	communication	humanities
758	composition	humanities
759	criminology	humanities
760	cultural anthropology	humanities
761	ecology	humanities
762	economics	humanities
763	english language and literature	humanities
764	environmental engineering	humanities
765	environmental sciences	humanities
766	ethics	humanities
767	geography	humanities
768	geology	humanities
769	history	humanities
770	history of religion	humanities
771	human geography	humanities
772	immunology	humanities
773	international relations	humanities
774	linguistics	humanities
775	mass communication	humanities
776	metaphysics	humanities
777	music	humanities
778	musicology	humanities
779	networking	humanities
780	philosophy	humanities
781	political science	humanities
782	political theory	humanities
783	psychology	humanities
784	public health	humanities
785	religion	humanities
786	social anthropology	humanities
787	sociology	humanities
788	theatre	humanities
789	theology	humanities
790	aerodynamics	analysis
791	algebra	analysis
792	algebraic geometry	analysis
793	analytical chemistry	analysis
794	anthropology	analysis
795	biomedical	analysis
796	climate	analysis
797	composition	analysis
798	control theory	analysis
799	cosmology	analysis
800	endocrinology	analysis
801	energy systems	analysis
802	geography	analysis
803	geology	analysis
804	information systems	analysis
805	instrumentation	analysis
806	international relations	analysis
807	linguistics	analysis
808	mechanical engineering	analysis
809	microbiology	analysis
810	molecular biology	analysis
811	morphology	analysis
812	music	analysis
813	number theory	analysis
814	numerical analysis	analysis
815	nutrition	analysis
816	ordinary differential equations	analysis
817	partial differential equations	analysis
818	pathology	analysis
819	pharmacology	analysis
820	phonetics	analysis
821	phonology	analysis
822	political science	analysis
823	probability	analysis
824	public health	analysis
825	race and ethnicity	analysis
826	semantics	analysis
827	sociology of culture	analysis
828	syntax	analysis
829	toxicology	analysis
830	virology	analysis
831	cosmology, relativity, and gravity	cosmology
832	cultural history	american studies
833	history	cultural anthropology
834	algebra	chemistry
835	analysis	chemistry
836	analytical chemistry	chemistry
837	anthropology	chemistry
838	biogeochemistry	chemistry
839	biomaterials	chemistry
840	biophysics	chemistry
841	botany	chemistry
842	composition	chemistry
843	cosmochemistry	chemistry
844	economics	chemistry
845	endocrinology	chemistry
846	environmental chemistry	chemistry
847	environmental sciences	chemistry
848	food chemistry	chemistry
849	geochemistry	chemistry
850	geology	chemistry
851	inorganic chemistry	chemistry
852	instrumentation	chemistry
853	life science	chemistry
854	materials chemistry	chemistry
855	materials science	chemistry
856	mechanical engineering	chemistry
857	medicinal chemistry	chemistry
858	medicinal-pharmaceutical chemistry	chemistry
859	metallurgy	chemistry
860	microbiology	chemistry
861	molecular biology	chemistry
862	nutrition	chemistry
863	oceanography	chemistry
864	organic chemistry	chemistry
865	pharmacology	chemistry
866	physical chemistry	chemistry
867	physics	chemistry
868	physiology	chemistry
869	political science	chemistry
870	psychology	chemistry
871	social science	chemistry
872	theatre	chemistry
873	toxicology	chemistry
874	transport phenomena	chemistry
875	aerodynamics	physics
876	algebra	physics
877	algebraic geometry	physics
878	applied mathematics	physics
879	astrophysics and astronomy	physics
880	biophysics	physics
881	botany	physics
882	condensed matter physics	physics
883	cosmology	physics
884	dynamical systems	physics
885	economics	physics
886	electromagnetics	physics
887	engineering physics	physics
888	fluid dynamics	physics
889	fluid mechanics	physics
890	geology	physics
891	geophysics	physics
892	history	physics
893	instrumentation	physics
894	life science	physics
895	metallurgy	physics
896	metaphysics	physics
897	meteorology	physics
898	mineral physics	physics
899	nuclear physics	physics
900	optics	physics
901	partial differential equations	physics
902	physiology	physics
903	political science	physics
904	probability	physics
905	psychology	physics
906	quantum physics	physics
907	social science	physics
908	semantics	programming languages
